classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
207552876,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:13:05 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:12:37.938Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:13:05.607Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Clean point source""}]","{""40938231"":{""retired"":null,""diaSourceId"":176486665823453489}}",40938231
207552908,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:13:13 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:13:10.885Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:13:13.453Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Dipole""}]","{""40938233"":{""retired"":null,""diaSourceId"":176486665823453493}}",40938233
207553020,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:13:44 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:13:39.699Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:13:44.460Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938229"":{""retired"":null,""diaSourceId"":176486665823453506}}",40938229
207553077,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:00 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:13:45.870Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:00.105Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""no source"",""task_label"":""Describe what you see.""}]","{""40938219"":{""retired"":null,""diaSourceId"":176486665823453512}}",40938219
207553107,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:09 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:01.419Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:09.502Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Clean point source""}]","{""40938221"":{""retired"":null,""diaSourceId"":176486665823453504}}",40938221
207553126,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:19 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:11.007Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:19.074Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""no source"",""task_label"":""Describe what you see.""}]","{""40938227"":{""retired"":null,""diaSourceId"":176486665823453515}}",40938227
207553145,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:25 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:20.379Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:25.616Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Clean point source""}]","{""40938225"":{""retired"":null,""diaSourceId"":176486665823453490}}",40938225
207553169,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:33 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:26.881Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:33.254Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938223"":{""retired"":null,""diaSourceId"":176486665823453510}}",40938223
207553183,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:14:37 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:34.537Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:14:37.603Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Dipole""}]","{""40938217"":{""retired"":null,""diaSourceId"":176486665823453516}}",40938217
207553325,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:15:37 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:14:39.282Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:15:37.279Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:12:37.805Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""No source"",""task_label"":""Describe what you see.""}]","{""40938216"":{""retired"":null,""diaSourceId"":176486665823453505}}",40938216
