,band,tract,patch,fwhm
0,g,2395,0,1.084148630023555
1,g,2395,1,1.066998969089235
2,g,2395,2,1.0545349668508786
3,g,2395,3,1.0844783034891028
4,g,2395,4,1.0502994144976714
5,g,2395,5,1.0457260902337602
6,g,2395,6,1.0971441584193504
7,g,2395,7,1.0618407249232227
8,g,2395,8,1.0717675897633467
9,g,2395,9,1.0607403578441816
10,g,2395,10,1.0387953183587235
11,g,2395,11,1.059761842880288
12,g,2395,12,1.014240381032127
13,g,2395,13,1.0563524500355885
14,g,2395,14,1.0995745222656998
15,g,2395,15,1.0547817538767716
16,g,2395,16,1.0235311495530846
17,g,2395,17,1.0772929893654062
18,g,2395,18,1.0575176435910938
19,g,2395,19,1.055798622270472
20,g,2395,20,1.0710045542864508
21,g,2395,21,0.9929897533206514
22,g,2395,22,1.0395146016506676
23,g,2395,23,1.062832999733542
24,g,2395,24,1.0388399747232075
25,g,2395,25,1.043502541989519
26,g,2395,26,1.054187500527868
27,g,2395,27,1.0416542652955902
28,g,2395,28,1.0794526769113737
29,g,2395,29,1.0581787075138116
30,g,2395,30,1.0289794328983888
31,g,2395,31,1.0460414021265518
32,g,2395,32,1.046810136500813
33,g,2395,33,1.0343175473114234
34,g,2395,34,1.0543431762253577
35,g,2395,35,1.0569083425753072
36,g,2395,36,1.0675300430458212
37,g,2395,37,1.0696484967769768
38,g,2395,38,1.038841307454397
39,g,2395,39,1.0166160827875181
40,g,2395,40,1.0622246823710704
41,g,2395,41,1.0446864643815998
42,g,2395,42,1.034177297740243
43,g,2395,43,1.045698500615095
44,g,2395,44,1.0332473937589939
45,g,2395,45,1.0621539628738765
46,g,2395,46,1.0303996975513703
47,g,2395,47,1.0473726078392633
48,g,2395,48,1.0484123735153568
49,g,2395,49,1.0225958729075808
50,g,2395,50,1.0395518962024615
51,g,2395,51,1.0548540135812476
52,g,2395,52,1.0089196440531394
53,g,2395,53,1.0028485781512149
54,g,2395,54,1.0008481834188157
55,g,2395,55,1.0335662475447565
56,g,2395,56,1.0862232091166488
57,g,2395,57,1.0482430925387765
58,g,2395,58,1.0424652048622896
59,g,2395,59,1.043021478061101
60,g,2395,60,1.0323950450318873
61,g,2395,61,0.993264139081645
62,g,2395,62,1.0404552395055988
63,g,2395,63,1.0065792596037688
64,g,2395,64,1.0398111981647387
65,g,2395,65,0.972830473342293
66,g,2395,66,1.0087461758649665
67,g,2395,67,1.0238711076209404
68,g,2395,68,1.0370311613804362
69,g,2395,69,1.0280297338132267
70,g,2395,70,1.028637917574352
71,g,2395,71,1.0336144789390913
72,g,2395,72,1.064748434195727
73,g,2395,73,1.0740797006430476
74,g,2395,74,0.997318138055657
75,g,2395,75,0.9837001545149242
76,g,2395,76,1.0348550866600765
77,g,2395,77,1.0016820314841517
78,g,2395,78,1.041555826724231
79,g,2395,79,1.0438897267606568
80,g,2395,80,1.0502770716525394
81,g,2395,81,1.0500450872226028
82,g,2395,82,1.039565957733133
83,g,2395,83,1.0297609365112486
84,g,2395,84,1.0342946196170442
85,g,2395,85,1.0135868415040834
86,g,2395,86,0.9967643003457186
87,g,2395,87,1.0287891420391138
88,g,2395,88,1.1059086686170168
89,g,2395,89,1.0631102730998594
90,g,2395,90,1.0446469267679042
91,g,2395,91,1.037126043465414
92,g,2395,92,1.0494274928890626
93,g,2395,93,1.0149536549468363
94,g,2395,94,1.0218759275142444
95,g,2395,95,1.0232419589676545
96,g,2395,96,1.0091178167421633
97,g,2395,97,1.0458963487742667
98,g,2395,98,1.0456558673870477
99,g,2395,99,1.1706579236075698
100,i,2395,0,0.8074301879058796
101,i,2395,1,0.8165331713379556
102,i,2395,2,0.8209813459794932
103,i,2395,3,0.7943429785800135
104,i,2395,4,0.790932709004174
105,i,2395,5,0.7853886290101427
106,i,2395,6,0.780261037759415
107,i,2395,7,0.7968696504688806
108,i,2395,8,0.768290905471867
109,i,2395,9,0.8219980298311218
110,i,2395,10,0.8061062213344687
111,i,2395,11,0.8178070609802046
112,i,2395,12,0.8206887654487152
113,i,2395,13,0.7975132128366867
114,i,2395,14,0.7930872318975886
115,i,2395,15,0.7928283050001725
116,i,2395,16,0.8065796698162517
117,i,2395,17,0.7807771330727846
118,i,2395,18,0.7704723617684635
119,i,2395,19,0.78645066400904
120,i,2395,20,0.8220224068808278
121,i,2395,21,0.8250622232300956
122,i,2395,22,0.8222818462923844
123,i,2395,23,0.7955989014482185
124,i,2395,24,0.8026140232318728
125,i,2395,25,0.7904983323086889
126,i,2395,26,0.7849357114455273
127,i,2395,27,0.7790106020680714
128,i,2395,28,0.7885951661075561
129,i,2395,29,0.7856796093268055
130,i,2395,30,0.8215580468204616
131,i,2395,31,0.8372474308614399
132,i,2395,32,0.7992413295175333
133,i,2395,33,0.7927585650251032
134,i,2395,34,0.7913982946804219
135,i,2395,35,0.7778234424387884
136,i,2395,36,0.7837452212874303
137,i,2395,37,0.7757871445434636
138,i,2395,38,0.7865416253773821
139,i,2395,39,0.7871708150383087
140,i,2395,40,0.8050829215647651
141,i,2395,41,0.8019257233842956
142,i,2395,42,0.8291614668749008
143,i,2395,43,0.8025000200664905
144,i,2395,44,0.8082292141432772
145,i,2395,45,0.7971387011912439
146,i,2395,46,0.7724884749048669
147,i,2395,47,0.7455246629586296
148,i,2395,48,0.7716742208517071
149,i,2395,49,0.7769147892923973
150,i,2395,50,0.8136661916616442
151,i,2395,51,0.838988766360556
152,i,2395,52,0.8106235636951482
153,i,2395,53,0.814300435088013
154,i,2395,54,0.8055959988087319
155,i,2395,55,0.7933981200548236
156,i,2395,56,0.7980607372718332
157,i,2395,57,0.7610675909708341
158,i,2395,58,0.8369854214006509
159,i,2395,59,0.7736273647285024
160,i,2395,60,0.8129680199539744
161,i,2395,61,0.8389208199582348
162,i,2395,62,0.8167829549132126
163,i,2395,63,0.8042185374765665
164,i,2395,64,0.8152652077773939
165,i,2395,65,0.8150215213755992
166,i,2395,66,0.7874992640680053
167,i,2395,67,0.8143101036406674
168,i,2395,68,0.8029820970741478
169,i,2395,69,0.8140969120230971
170,i,2395,70,0.8246074702772237
171,i,2395,71,0.8174199917739392
172,i,2395,72,0.8404637165915064
173,i,2395,73,0.818365749794574
174,i,2395,74,0.8017222414747174
175,i,2395,75,0.8154429571272588
176,i,2395,76,0.8050220048577654
177,i,2395,77,0.7964747878322319
178,i,2395,78,0.8303439533026321
179,i,2395,79,0.8283551911005763
180,i,2395,80,0.8248333165934953
181,i,2395,81,0.8347517899029914
182,i,2395,82,0.8082406971270708
183,i,2395,83,0.8290777717268094
184,i,2395,84,0.8011755993536736
185,i,2395,85,0.8013523397175067
186,i,2395,86,0.8070613093675656
187,i,2395,87,0.8176161343918905
188,i,2395,88,0.8242973293141491
189,i,2395,89,0.8392505438500161
190,i,2395,90,0.8065527861702313
191,i,2395,91,0.8253191344102073
192,i,2395,92,0.8201455308132077
193,i,2395,93,0.8139351091955229
194,i,2395,94,0.8063665854458995
195,i,2395,95,0.8120751136705945
196,i,2395,96,0.8211017103779709
197,i,2395,97,0.8149472083734989
198,i,2395,98,0.8168353332582559
199,i,2395,99,0.8687692624006819
200,r,2395,0,1.079026337301548
201,r,2395,1,1.0757864401183883
202,r,2395,2,1.0640695972602052
203,r,2395,3,1.038898217106747
204,r,2395,4,1.0493562461692407
